代码,名称,现价,涨跌幅%,成交额,成交额排名,上市板块,状态,分组,MA5,MA10,MA20,MA5向上,最近大阳线%,放量跌破MA5,MA5偏离率%,一手金额,当前本金,当前可用资金,本金是否可买,history_status,history_rows,history_last_date,history_error,流程阶段,筛选原因,提醒,规则状态,明日计划,备注
002270,华明装备,20.14,9.994538503549984,383720782.23,21,主板,偏高不追,观察,18.956,19.595,19.9095,True,10.0,False,6.2460434690863105,2014.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,偏高不追,MA5偏离率5%-7%,位置偏高，不追，继续观察。,偏高不追,,
603286,日盈电子,56.96,10.00386249517188,383283752.0,22,主板,远离不追,观察,49.09,49.186,53.071000000000005,True,10.01,False,16.031778366266035,5696.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
002979,雷赛智能,69.55,9.995255416732565,364588402.75,23,主板,远离不追,观察,59.620000000000005,56.254,54.878,True,7.15,False,16.655484736665535,6955.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
600391,航发科技,35.52,10.003096934035318,364189500.0,24,主板,偏高不追,观察,33.202,33.166,33.269,True,10.0,False,6.9815071381242255,3552.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,偏高不追,MA5偏离率5%-7%,位置偏高，不追，继续观察。,偏高不追,,
001337,四川黄金,41.21,10.010678056593699,360400540.45,25,主板,远离不追,观察,37.690000000000005,38.558,40.689499999999995,True,10.01,False,9.339347306977967,4121.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
000506,招金黄金,13.87,9.992069785884219,339924552.83,26,主板,远离不追,观察,12.314,12.794,13.4175,True,10.03,False,12.636024037680682,1387.0,10000.0,10000.0,可以买,已有缓存,264,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
002072,凯瑞德,9.64,10.04566210045663,299728034.08,27,主板,远离不追,观察,8.624,8.709,8.733,True,10.05,False,11.781076066790352,964.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
600801,华新建材,18.11,10.024301336573501,292025886.0,28,主板,远离不追,观察,16.756,17.185,17.949499999999997,True,10.02,False,8.080687514920024,1811.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
603211,晋拓股份,35.94,10.00918273645545,259261370.0,29,主板,偏高不追,观察,33.912,34.848,33.072,True,10.01,False,5.980184005661709,3594.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,偏高不追,MA5偏离率5%-7%,位置偏高，不追，继续观察。,偏高不追,,
002771,真视通,13.87,9.992069785884219,250268028.62,30,主板,远离不追,观察,12.68,13.184,14.216,True,10.01,False,9.384858044164034,1387.0,10000.0,10000.0,可以买,已有缓存,265,2026-07-03,,远离不追,MA5偏离率>7%,远离5日线，不追，等后续回踩。,远离不追,,
